title,box_office,genres_IMDB,release_year,averageRating,numVotes,GPE_entities,GPE_US_frequencies,Percentage_american_culture
The Mahabharata,,,1989.0,,,[],Counter(),0.0
Malice,,"Crime,Mystery,Thriller",1993.0,6.5,28595.0,['Massachusetts'],Counter({'Massachusetts': 1}),1.0
Fast Food Nation,2209322.0,,2006.0,,,"['Cody', 'Colorado', 'Mexico', 'Colorado']","Counter({'Colorado': 2, 'Cody': 1, 'Mexico': 1})",1.0
The Breed,,,2006.0,,,[],Counter(),0.0
Boiling Point,10058318.0,,1993.0,,,[],Counter(),0.0
Crime and Punishment,,Drama,2002.0,5.5,892.0,['Moscow'],Counter({'Moscow': 1}),1.0
Night of the Twisters,,,1996.0,,,"['Dannebrog', 'Nebraska', 'Grand Island', 'Nebraska', 'Blainesworth', 'Blainsworth', 'Dannebrog']","Counter({'Dannebrog': 2, 'Nebraska': 2, 'Grand Island': 1})",0.7142857142857143
The Lickerish Quartet,,Drama,1970.0,5.9,1266.0,[],Counter(),0.0
Wyvern,,,2009.0,,,['Beaver Mills'],Counter(),0.0
Felicia's Journey,,"Drama,Thriller",1999.0,7.0,8489.0,"['England', 'Birmingham']","Counter({'England': 1, 'Birmingham': 1})",1.0
In America,24884269.0,,2003.0,,,"['the United States', 'Canada', 'New York City', 'New York', 'the United States']","Counter({'Canada': 1, 'New York': 1})",0.4
Dead Ringers,8038508.0,"Drama,Horror,Thriller",1988.0,7.2,55071.0,[],Counter(),0.0
Versus,,"Action,Drama,Fantasy",2000.0,6.3,13867.0,"['Japan', 'Japan', 'Japan', 'Tokyo']",Counter(),0.0
The Last Exorcism,67738090.0,,2010.0,,,"['Baton Rouge', 'Louisiana', 'Louisiana']","Counter({'Louisiana': 2, 'Baton Rouge': 1})",1.0
Assassination Tango,,,2003.0,,,"['Argentina', 'Buenos Aires', 'Argentina']",Counter(),0.0
Britannic,,,2000.0,,,"['Southampton', 'Greece', 'Naples', 'Great Britain', 'Kea Island']","Counter({'Southampton': 1, 'Naples': 1})",0.4
Nanny McPhee and the Big Bang,,,2010.0,,,"['Britain', 'London', 'London']",Counter({'London': 2}),0.6666666666666666
