year,ceremony,award,winner,nominee,film
1934,7,Actor,False,Frank Morgan,The Affairs of Cellini
1934,7,Actor,False,William Powell,The Thin Man
1934,7,Actress,True,Claudette Colbert,It Happened One Night
1934,7,Actress,False,Bette Davis,Of Human Bondage
1934,7,Actress,False,Grace Moore,One Night of Love
1934,7,Actress,False,Norma Shearer,The Barretts of Wimpole Street
1935,8,Actor,False,Clark Gable,Mutiny on the Bounty
1935,8,Actor,False,Charles Laughton,Mutiny on the Bounty
1935,8,Actor,True,Victor McLaglen,The Informer
1935,8,Actor,False,Paul Muni,Black Fury
1935,8,Actor,False,Franchot Tone,Mutiny on the Bounty
1935,8,Actress,False,Elisabeth Bergner,Escape Me Never
1935,8,Actress,False,Claudette Colbert,Private Worlds
1935,8,Actress,True,Bette Davis,Dangerous
1935,8,Actress,False,Katharine Hepburn,Alice Adams
1935,8,Actress,False,Miriam Hopkins,Becky Sharp
1935,8,Actress,False,Merle Oberon,The Dark Angel
1936,9,Actor,False,Gary Cooper,Mr. Deeds Goes to Town
1936,9,Actor,False,Walter Huston,Dodsworth
1936,9,Actor,True,Paul Muni,The Story of Louis Pasteur
1936,9,Actor,False,William Powell,My Man Godfrey
1936,9,Actor,False,Spencer Tracy,San Francisco
1936,9,Actor in a Supporting Role,False,Mischa Auer,My Man Godfrey
1936,9,Actor in a Supporting Role,True,Walter Brennan,Come and Get It
1936,9,Actor in a Supporting Role,False,Stuart Erwin,Pigskin Parade
1936,9,Actor in a Supporting Role,False,Basil Rathbone,Romeo and Juliet
1936,9,Actor in a Supporting Role,False,Akim Tamiroff,The General Died at Dawn
1936,9,Actress,False,Irene Dunne,Theodora Goes Wild
1936,9,Actress,False,Gladys George,Valiant Is the Word for Carrie
1936,9,Actress,False,Carole Lombard,My Man Godfrey
1936,9,Actress,True,Luise Rainer,The Great Ziegfeld
1936,9,Actress,False,Norma Shearer,Romeo and Juliet
1936,9,Actress in a Supporting Role,False,Beulah Bondi,The Gorgeous Hussy
1936,9,Actress in a Supporting Role,False,Alice Brady,My Man Godfrey
1936,9,Actress in a Supporting Role,False,Bonita Granville,These Three
1936,9,Actress in a Supporting Role,False,Maria Ouspenskaya,Dodsworth
1936,9,Actress in a Supporting Role,True,Gale Sondergaard,Anthony Adverse
1937,10,Actor,False,Charles Boyer,Conquest
1937,10,Actor,False,Fredric March,A Star Is Born
1937,10,Actor,False,Robert Montgomery,Night Must Fall
1937,10,Actor,False,Paul Muni,The Life of Emile Zola
1937,10,Actor,True,Spencer Tracy,Captains Courageous
1937,10,Actor in a Supporting Role,False,Ralph Bellamy,The Awful Truth
1937,10,Actor in a Supporting Role,False,Thomas Mitchell,The Hurricane
1937,10,Actor in a Supporting Role,True,Joseph Schildkraut,The Life of Emile Zola
1937,10,Actor in a Supporting Role,False,H. B. Warner,Lost Horizon
1937,10,Actor in a Supporting Role,False,Roland Young,Topper
1937,10,Actress,False,Irene Dunne,The Awful Truth
1937,10,Actress,False,Greta Garbo,Camille
1937,10,Actress,False,Janet Gaynor,A Star Is Born
1937,10,Actress,True,Luise Rainer,The Good Earth
1937,10,Actress,False,Barbara Stanwyck,Stella Dallas
1937,10,Actress in a Supporting Role,True,Alice Brady,In Old Chicago
1937,10,Actress in a Supporting Role,False,Andrea Leeds,Stage Door
1937,10,Actress in a Supporting Role,False,Anne Shirley,Stella Dallas
1937,10,Actress in a Supporting Role,False,Claire Trevor,Dead End
1937,10,Actress in a Supporting Role,False,Dame May Whitty,Night Must Fall
1938,11,Actor,False,Charles Boyer,Algiers
1938,11,Actor,False,James Cagney,Angels with Dirty Faces
1938,11,Actor,False,Robert Donat,The Citadel
1938,11,Actor,False,Leslie Howard,Pygmalion
1938,11,Actor,True,Spencer Tracy,Boys Town
1938,11,Actor in a Supporting Role,True,Walter Brennan,Kentucky
1938,11,Actor in a Supporting Role,False,John Garfield,Four Daughters
1938,11,Actor in a Supporting Role,False,Gene Lockhart,Algiers
1938,11,Actor in a Supporting Role,False,Robert Morley,Marie Antoinette
1938,11,Actor in a Supporting Role,False,Basil Rathbone,If I Were King
1938,11,Actress,False,Fay Bainter,White Banners
1938,11,Actress,True,Bette Davis,Jezebel
1938,11,Actress,False,Wendy Hiller,Pygmalion
1938,11,Actress,False,Norma Shearer,Marie Antoinette
1938,11,Actress,False,Margaret Sullavan,Three Comrades
1938,11,Actress in a Supporting Role,True,Fay Bainter,Jezebel
1938,11,Actress in a Supporting Role,False,Beulah Bondi,Of Human Hearts
1938,11,Actress in a Supporting Role,False,Billie Burke,Merrily We Live
1938,11,Actress in a Supporting Role,False,Spring Byington,You Can't Take It with You
1938,11,Actress in a Supporting Role,False,Miliza Korjus,The Great Waltz
1939,12,Actor,True,Robert Donat,"Goodbye, Mr. Chips"
1939,12,Actor,False,Clark Gable,Gone with the Wind
1939,12,Actor,False,Laurence Olivier,Wuthering Heights
1939,12,Actor,False,Mickey Rooney,Babes in Arms
1939,12,Actor,False,James Stewart,Mr. Smith Goes to Washington
1939,12,Actor in a Supporting Role,False,Brian Aherne,Juarez
1939,12,Actor in a Supporting Role,False,Harry Carey,Mr. Smith Goes to Washington
1939,12,Actor in a Supporting Role,False,Brian Donlevy,Beau Geste
1939,12,Actor in a Supporting Role,True,Thomas Mitchell,Stagecoach
1939,12,Actor in a Supporting Role,False,Claude Rains,Mr. Smith Goes to Washington
1939,12,Actress,False,Bette Davis,Dark Victory
1939,12,Actress,False,Irene Dunne,Love Affair
1939,12,Actress,False,Greta Garbo,Ninotchka
1939,12,Actress,False,Greer Garson,"Goodbye, Mr. Chips"
1939,12,Actress,True,Vivien Leigh,Gone with the Wind
1939,12,Actress in a Supporting Role,False,Olivia de Havilland,Gone with the Wind
1939,12,Actress in a Supporting Role,False,Geraldine Fitzgerald,Wuthering Heights
1939,12,Actress in a Supporting Role,True,Hattie McDaniel,Gone with the Wind
1939,12,Actress in a Supporting Role,False,Edna May Oliver,Drums along the Mohawk
1939,12,Actress in a Supporting Role,False,Maria Ouspenskaya,Love Affair
1940,13,Actor,False,Charles Chaplin,The Great Dictator
1940,13,Actor,False,Henry Fonda,The Grapes of Wrath
1940,13,Actor,False,Raymond Massey,Abe Lincoln in Illinois
1940,13,Actor,False,Laurence Olivier,Rebecca
1940,13,Actor,True,James Stewart,The Philadelphia Story
1940,13,Actor in a Supporting Role,False,Albert Basserman,Foreign Correspondent
1940,13,Actor in a Supporting Role,True,Walter Brennan,The Westerner
1940,13,Actor in a Supporting Role,False,William Gargan,They Knew What They Wanted
1940,13,Actor in a Supporting Role,False,Jack Oakie,The Great Dictator
1940,13,Actor in a Supporting Role,False,James Stephenson,The Letter
1940,13,Actress,False,Bette Davis,The Letter
1940,13,Actress,False,Joan Fontaine,Rebecca
1940,13,Actress,False,Katharine Hepburn,The Philadelphia Story
1940,13,Actress,True,Ginger Rogers,Kitty Foyle
1940,13,Actress,False,Martha Scott,Our Town
1940,13,Actress in a Supporting Role,False,Judith Anderson,Rebecca
1940,13,Actress in a Supporting Role,True,Jane Darwell,The Grapes of Wrath
1940,13,Actress in a Supporting Role,False,Ruth Hussey,The Philadelphia Story
1940,13,Actress in a Supporting Role,False,Barbara O'Neil,"All This, and Heaven Too"
1940,13,Actress in a Supporting Role,False,Marjorie Rambeau,Primrose Path
1941,14,Actor,True,Gary Cooper,Sergeant York
1941,14,Actor,False,Cary Grant,Penny Serenade
1941,14,Actor,False,Walter Huston,All That Money Can Buy
1941,14,Actor,False,Robert Montgomery,Here Comes Mr. Jordan
1941,14,Actor,False,Orson Welles,Citizen Kane
1941,14,Actor in a Supporting Role,False,Walter Brennan,Sergeant York
1941,14,Actor in a Supporting Role,False,Charles Coburn,The Devil and Miss Jones
1941,14,Actor in a Supporting Role,True,Donald Crisp,How Green Was My Valley
1941,14,Actor in a Supporting Role,False,James Gleason,Here Comes Mr. Jordan
1941,14,Actor in a Supporting Role,False,Sydney Greenstreet,The Maltese Falcon
1941,14,Actress,False,Bette Davis,The Little Foxes
1941,14,Actress,False,Olivia de Havilland,Hold Back the Dawn
1941,14,Actress,True,Joan Fontaine,Suspicion
1941,14,Actress,False,Greer Garson,Blossoms in the Dust
1941,14,Actress,False,Barbara Stanwyck,Ball of Fire
1941,14,Actress in a Supporting Role,False,Sara Allgood,How Green Was My Valley
1941,14,Actress in a Supporting Role,True,Mary Astor,The Great Lie
1941,14,Actress in a Supporting Role,False,Patricia Collinge,The Little Foxes
1941,14,Actress in a Supporting Role,False,Teresa Wright,The Little Foxes
1941,14,Actress in a Supporting Role,False,Margaret Wycherly,Sergeant York
1942,15,Actor,True,James Cagney,Yankee Doodle Dandy
1942,15,Actor,False,Ronald Colman,Random Harvest
1942,15,Actor,False,Gary Cooper,The Pride of the Yankees
1942,15,Actor,False,Walter Pidgeon,Mrs. Miniver
1942,15,Actor,False,Monty Woolley,The Pied Piper
1942,15,Actor in a Supporting Role,False,William Bendix,Wake Island
1942,15,Actor in a Supporting Role,True,Van Heflin,Johnny Eager
1942,15,Actor in a Supporting Role,False,Walter Huston,Yankee Doodle Dandy
1942,15,Actor in a Supporting Role,False,Frank Morgan,Tortilla Flat
1942,15,Actor in a Supporting Role,False,Henry Travers,Mrs. Miniver
1942,15,Actress,False,Bette Davis,"Now, Voyager"
1942,15,Actress,True,Greer Garson,Mrs. Miniver
1942,15,Actress,False,Katharine Hepburn,Woman of the Year
1942,15,Actress,False,Rosalind Russell,My Sister Eileen
1942,15,Actress,False,Teresa Wright,The Pride of the Yankees
1942,15,Actress in a Supporting Role,False,Gladys Cooper,"Now, Voyager"
1942,15,Actress in a Supporting Role,False,Agnes Moorehead,The Magnificent Ambersons
1942,15,Actress in a Supporting Role,False,Susan Peters,Random Harvest
1942,15,Actress in a Supporting Role,False,Dame May Whitty,Mrs. Miniver
1942,15,Actress in a Supporting Role,True,Teresa Wright,Mrs. Miniver
1943,16,Actor,False,Humphrey Bogart,Casablanca
1943,16,Actor,False,Gary Cooper,For Whom the Bell Tolls
1943,16,Actor,True,Paul Lukas,Watch on the Rhine
1943,16,Actor,False,Walter Pidgeon,Madame Curie
1943,16,Actor,False,Mickey Rooney,The Human Comedy
1943,16,Actor in a Supporting Role,False,Charles Bickford,The Song of Bernadette
1943,16,Actor in a Supporting Role,True,Charles Coburn,The More the Merrier
1943,16,Actor in a Supporting Role,False,J. Carrol Naish,Sahara
1943,16,Actor in a Supporting Role,False,Claude Rains,Casablanca
1943,16,Actor in a Supporting Role,False,Akim Tamiroff,For Whom the Bell Tolls
1943,16,Actress,False,Jean Arthur,The More the Merrier
1943,16,Actress,False,Ingrid Bergman,For Whom the Bell Tolls
1943,16,Actress,False,Joan Fontaine,The Constant Nymph
1943,16,Actress,False,Greer Garson,Madame Curie
1943,16,Actress,True,Jennifer Jones,The Song of Bernadette
1943,16,Actress in a Supporting Role,False,Gladys Cooper,The Song of Bernadette
1943,16,Actress in a Supporting Role,False,Paulette Goddard,So Proudly We Hail!
1943,16,Actress in a Supporting Role,True,Katina Paxinou,For Whom the Bell Tolls
1943,16,Actress in a Supporting Role,False,Anne Revere,The Song of Bernadette
1943,16,Actress in a Supporting Role,False,Lucile Watson,Watch on the Rhine
1944,17,Actor,False,Charles Boyer,Gaslight
1944,17,Actor,True,Bing Crosby,Going My Way
1944,17,Actor,False,Barry Fitzgerald,Going My Way
1944,17,Actor,False,Cary Grant,None but the Lonely Heart
1944,17,Actor,False,Alexander Knox,Wilson
1944,17,Actor in a Supporting Role,False,Hume Cronyn,The Seventh Cross
1944,17,Actor in a Supporting Role,True,Barry Fitzgerald,Going My Way
1944,17,Actor in a Supporting Role,False,Claude Rains,Mr. Skeffington
1944,17,Actor in a Supporting Role,False,Clifton Webb,Laura
1944,17,Actor in a Supporting Role,False,Monty Woolley,Since You Went Away
1944,17,Actress,True,Ingrid Bergman,Gaslight
1944,17,Actress,False,Claudette Colbert,Since You Went Away
1944,17,Actress,False,Bette Davis,Mr. Skeffington
1944,17,Actress,False,Greer Garson,Mrs. Parkington
1944,17,Actress,False,Barbara Stanwyck,Double Indemnity
1944,17,Actress in a Supporting Role,True,Ethel Barrymore,None but the Lonely Heart
1944,17,Actress in a Supporting Role,False,Jennifer Jones,Since You Went Away
1944,17,Actress in a Supporting Role,False,Angela Lansbury,Gaslight
1944,17,Actress in a Supporting Role,False,Aline MacMahon,Dragon Seed
1944,17,Actress in a Supporting Role,False,Agnes Moorehead,Mrs. Parkington
1945,18,Actor,False,Bing Crosby,The Bells of St. Mary's
1945,18,Actor,False,Gene Kelly,Anchors Aweigh
1945,18,Actor,True,Ray Milland,The Lost Weekend
1945,18,Actor,False,Gregory Peck,The Keys of the Kingdom
1945,18,Actor,False,Cornel Wilde,A Song to Remember
1945,18,Actor in a Supporting Role,False,Michael Chekhov,Spellbound
1945,18,Actor in a Supporting Role,False,John Dall,The Corn Is Green
1945,18,Actor in a Supporting Role,True,James Dunn,A Tree Grows in Brooklyn
1945,18,Actor in a Supporting Role,False,Robert Mitchum,G. I. Joe
1945,18,Actor in a Supporting Role,False,J. Carrol Naish,A Medal for Benny
1945,18,Actress,False,Ingrid Bergman,The Bells of St. Mary's
1945,18,Actress,True,Joan Crawford,Mildred Pierce
1945,18,Actress,False,Greer Garson,The Valley of Decision
1945,18,Actress,False,Jennifer Jones,Love Letters
1945,18,Actress,False,Gene Tierney,Leave Her to Heaven
1945,18,Actress in a Supporting Role,False,Eve Arden,Mildred Pierce
1945,18,Actress in a Supporting Role,False,Ann Blyth,Mildred Pierce
1945,18,Actress in a Supporting Role,False,Angela Lansbury,The Picture of Dorian Gray
1945,18,Actress in a Supporting Role,False,Joan Lorring,The Corn Is Green
1945,18,Actress in a Supporting Role,True,Anne Revere,National Velvet
1946,19,Actor,True,Fredric March,The Best Years of Our Lives
1946,19,Actor,False,Laurence Olivier,Henry V
1946,19,Actor,False,Larry Parks,The Jolson Story
1946,19,Actor,False,Gregory Peck,The Yearling
1946,19,Actor,False,James Stewart,It's a Wonderful Life
1946,19,Actor in a Supporting Role,False,Charles Coburn,The Green Years
1946,19,Actor in a Supporting Role,False,William Demarest,The Jolson Story
1946,19,Actor in a Supporting Role,False,Claude Rains,Notorious
1946,19,Actor in a Supporting Role,True,Harold Russell,The Best Years of Our Lives
1946,19,Actor in a Supporting Role,False,Clifton Webb,The Razor's Edge
1946,19,Actress,True,Olivia de Havilland,To Each His Own
1946,19,Actress,False,Celia Johnson,Brief Encounter
1946,19,Actress,False,Jennifer Jones,Duel in the Sun
1946,19,Actress,False,Rosalind Russell,Sister Kenny
1946,19,Actress,False,Jane Wyman,The Yearling
1946,19,Actress in a Supporting Role,False,Ethel Barrymore,The Spiral Staircase
1946,19,Actress in a Supporting Role,True,Anne Baxter,The Razor's Edge
1946,19,Actress in a Supporting Role,False,Lillian Gish,Duel in the Sun
1946,19,Actress in a Supporting Role,False,Flora Robson,Saratoga Trunk
1946,19,Actress in a Supporting Role,False,Gale Sondergaard,Anna and the King of Siam
1947,20,Actor,True,Ronald Colman,A Double Life
1947,20,Actor,False,John Garfield,Body and Soul
1947,20,Actor,False,Gregory Peck,Gentleman's Agreement
1947,20,Actor,False,William Powell,Life with Father
1947,20,Actor,False,Michael Redgrave,Mourning Becomes Electra
1947,20,Actor in a Supporting Role,False,Charles Bickford,The Farmer's Daughter
1947,20,Actor in a Supporting Role,False,Thomas Gomez,Ride the Pink Horse
1947,20,Actor in a Supporting Role,True,Edmund Gwenn,Miracle on 34th Street
1947,20,Actor in a Supporting Role,False,Robert Ryan,Crossfire
1947,20,Actor in a Supporting Role,False,Richard Widmark,Kiss of Death
1947,20,Actress,False,Joan Crawford,Possessed
1947,20,Actress,False,Susan Hayward,Smash-Up--The Story of a Woman
1947,20,Actress,False,Dorothy McGuire,Gentleman's Agreement
1947,20,Actress,False,Rosalind Russell,Mourning Becomes Electra
1947,20,Actress,True,Loretta Young,The Farmer's Daughter
1947,20,Actress in a Supporting Role,False,Ethel Barrymore,The Paradine Case
1947,20,Actress in a Supporting Role,False,Gloria Grahame,Crossfire
1947,20,Actress in a Supporting Role,True,Celeste Holm,Gentleman's Agreement
1947,20,Actress in a Supporting Role,False,Marjorie Main,The Egg and I
1947,20,Actress in a Supporting Role,False,Anne Revere,Gentleman's Agreement
1948,21,Actor,False,Lew Ayres,Johnny Belinda
1948,21,Actor,False,Montgomery Clift,The Search
1948,21,Actor,False,Dan Dailey,When My Baby Smiles at Me
1948,21,Actor,True,Laurence Olivier,Hamlet
1948,21,Actor,False,Clifton Webb,Sitting Pretty
1948,21,Actor in a Supporting Role,False,Charles Bickford,Johnny Belinda
1948,21,Actor in a Supporting Role,False,José Ferrer,Joan of Arc
1948,21,Actor in a Supporting Role,False,Oscar Homolka,I Remember Mama
1948,21,Actor in a Supporting Role,True,Walter Huston,The Treasure of the Sierra Madre
1948,21,Actor in a Supporting Role,False,Cecil Kellaway,The Luck of the Irish
1948,21,Actress,False,Ingrid Bergman,Joan of Arc
1948,21,Actress,False,Olivia de Havilland,The Snake Pit
1948,21,Actress,False,Irene Dunne,I Remember Mama
1948,21,Actress,False,Barbara Stanwyck,"Sorry, Wrong Number"
1948,21,Actress,True,Jane Wyman,Johnny Belinda
1948,21,Actress in a Supporting Role,False,Barbara Bel Geddes,I Remember Mama
1948,21,Actress in a Supporting Role,False,Ellen Corby,I Remember Mama
1948,21,Actress in a Supporting Role,False,Agnes Moorehead,Johnny Belinda
1948,21,Actress in a Supporting Role,False,Jean Simmons,Hamlet
1948,21,Actress in a Supporting Role,True,Claire Trevor,Key Largo
1949,22,Actor,True,Broderick Crawford,All the King's Men
1949,22,Actor,False,Kirk Douglas,Champion
1949,22,Actor,False,Gregory Peck,Twelve O'Clock High
1949,22,Actor,False,Richard Todd,The Hasty Heart
1949,22,Actor,False,John Wayne,Sands of Iwo Jima
1949,22,Actor in a Supporting Role,False,John Ireland,All the King's Men
1949,22,Actor in a Supporting Role,True,Dean Jagger,Twelve O'Clock High
1949,22,Actor in a Supporting Role,False,Arthur Kennedy,Champion
1949,22,Actor in a Supporting Role,False,Ralph Richardson,The Heiress
1949,22,Actor in a Supporting Role,False,James Whitmore,Battleground
1949,22,Actress,False,Jeanne Crain,Pinky
1949,22,Actress,True,Olivia de Havilland,The Heiress
1949,22,Actress,False,Susan Hayward,My Foolish Heart
1949,22,Actress,False,Deborah Kerr,"Edward, My Son"
1949,22,Actress,False,Loretta Young,Come to the Stable
1949,22,Actress in a Supporting Role,False,Ethel Barrymore,Pinky
1949,22,Actress in a Supporting Role,False,Celeste Holm,Come to the Stable
1949,22,Actress in a Supporting Role,False,Elsa Lanchester,Come to the Stable
1949,22,Actress in a Supporting Role,True,Mercedes McCambridge,All the King's Men
1949,22,Actress in a Supporting Role,False,Ethel Waters,Pinky
1950,23,Actor,False,Louis Calhern,The Magnificent Yankee
1950,23,Actor,True,José Ferrer,Cyrano de Bergerac
1950,23,Actor,False,William Holden,Sunset Blvd.
1950,23,Actor,False,James Stewart,Harvey
1950,23,Actor,False,Spencer Tracy,Father of the Bride
1950,23,Actor in a Supporting Role,False,Jeff Chandler,Broken Arrow
1950,23,Actor in a Supporting Role,False,Edmund Gwenn,Mister 880
1950,23,Actor in a Supporting Role,False,Sam Jaffe,The Asphalt Jungle
1950,23,Actor in a Supporting Role,True,George Sanders,All about Eve
1950,23,Actor in a Supporting Role,False,Erich von Stroheim,Sunset Blvd.
1950,23,Actress,False,Anne Baxter,All about Eve
1950,23,Actress,False,Bette Davis,All about Eve
1950,23,Actress,True,Judy Holliday,Born Yesterday
1950,23,Actress,False,Eleanor Parker,Caged
1950,23,Actress,False,Gloria Swanson,Sunset Blvd.
1950,23,Actress in a Supporting Role,False,Hope Emerson,Caged
1950,23,Actress in a Supporting Role,False,Celeste Holm,All about Eve
1950,23,Actress in a Supporting Role,True,Josephine Hull,Harvey
1950,23,Actress in a Supporting Role,False,Nancy Olson,Sunset Blvd.
1950,23,Actress in a Supporting Role,False,Thelma Ritter,All about Eve
1951,24,Actor,True,Humphrey Bogart,The African Queen
1951,24,Actor,False,Marlon Brando,A Streetcar Named Desire
1951,24,Actor,False,Montgomery Clift,A Place in the Sun
1951,24,Actor,False,Arthur Kennedy,Bright Victory
1951,24,Actor,False,Fredric March,Death of a Salesman
1951,24,Actor in a Supporting Role,False,Leo Genn,Quo Vadis
1951,24,Actor in a Supporting Role,False,Kevin McCarthy,Death of a Salesman
1951,24,Actor in a Supporting Role,True,Karl Malden,A Streetcar Named Desire
1951,24,Actor in a Supporting Role,False,Peter Ustinov,Quo Vadis
1951,24,Actor in a Supporting Role,False,Gig Young,Come Fill the Cup
1951,24,Actress,False,Katharine Hepburn,The African Queen
1951,24,Actress,True,Vivien Leigh,A Streetcar Named Desire
1951,24,Actress,False,Eleanor Parker,Detective Story
1951,24,Actress,False,Shelley Winters,A Place in the Sun
1951,24,Actress,False,Jane Wyman,The Blue Veil
1951,24,Actress in a Supporting Role,False,Joan Blondell,The Blue Veil
1951,24,Actress in a Supporting Role,False,Mildred Dunnock,Death of a Salesman
1951,24,Actress in a Supporting Role,False,Lee Grant,Detective Story
1951,24,Actress in a Supporting Role,True,Kim Hunter,A Streetcar Named Desire
1951,24,Actress in a Supporting Role,False,Thelma Ritter,The Mating Season
1952,25,Actor,False,Marlon Brando,Viva Zapata!
1952,25,Actor,True,Gary Cooper,High Noon
1952,25,Actor,False,Kirk Douglas,The Bad and the Beautiful
1952,25,Actor,False,José Ferrer,Moulin Rouge
1952,25,Actor,False,Alec Guinness,The Lavender Hill Mob
1952,25,Actor in a Supporting Role,False,Richard Burton,My Cousin Rachel
1952,25,Actor in a Supporting Role,False,Arthur Hunnicutt,The Big Sky
1952,25,Actor in a Supporting Role,False,Victor McLaglen,The Quiet Man
1952,25,Actor in a Supporting Role,False,Jack Palance,Sudden Fear
1952,25,Actor in a Supporting Role,True,Anthony Quinn,Viva Zapata!
1952,25,Actress,True,Shirley Booth,"Come Back, Little Sheba"
1952,25,Actress,False,Joan Crawford,Sudden Fear
1952,25,Actress,False,Bette Davis,The Star
1952,25,Actress,False,Julie Harris,The Member of the Wedding
1952,25,Actress,False,Susan Hayward,With a Song in My Heart
1952,25,Actress in a Supporting Role,True,Gloria Grahame,The Bad and the Beautiful
1952,25,Actress in a Supporting Role,False,Jean Hagen,Singin' in the Rain
1952,25,Actress in a Supporting Role,False,Colette Marchand,Moulin Rouge
1952,25,Actress in a Supporting Role,False,Terry Moore,"Come Back, Little Sheba"
1952,25,Actress in a Supporting Role,False,Thelma Ritter,With a Song in My Heart
1953,26,Actor,False,Marlon Brando,Julius Caesar
1953,26,Actor,False,Richard Burton,The Robe
1953,26,Actor,False,Montgomery Clift,From Here to Eternity
1953,26,Actor,True,William Holden,Stalag 17
1953,26,Actor,False,Burt Lancaster,From Here to Eternity
1953,26,Actor in a Supporting Role,False,Eddie Albert,Roman Holiday
1953,26,Actor in a Supporting Role,False,Brandon De Wilde,Shane
1953,26,Actor in a Supporting Role,False,Jack Palance,Shane
1953,26,Actor in a Supporting Role,True,Frank Sinatra,From Here to Eternity
1953,26,Actor in a Supporting Role,False,Robert Strauss,Stalag 17
1953,26,Actress,False,Leslie Caron,Lili
1953,26,Actress,False,Ava Gardner,Mogambo
1953,26,Actress,True,Audrey Hepburn,Roman Holiday
1953,26,Actress,False,Deborah Kerr,From Here to Eternity
1953,26,Actress,False,Maggie McNamara,The Moon Is Blue
1953,26,Actress in a Supporting Role,False,Grace Kelly,Mogambo
1953,26,Actress in a Supporting Role,False,Geraldine Page,Hondo
1953,26,Actress in a Supporting Role,False,Marjorie Rambeau,Torch Song
1953,26,Actress in a Supporting Role,True,Donna Reed,From Here to Eternity
1953,26,Actress in a Supporting Role,False,Thelma Ritter,Pickup on South Street
1954,27,Actor,False,Humphrey Bogart,The Caine Mutiny
1954,27,Actor,True,Marlon Brando,On the Waterfront
1954,27,Actor,False,Bing Crosby,The Country Girl
1954,27,Actor,False,James Mason,A Star Is Born
1954,27,Actor,False,Dan O'Herlihy,Adventures of Robinson Crusoe
1954,27,Actor in a Supporting Role,False,Lee J. Cobb,On the Waterfront
1954,27,Actor in a Supporting Role,False,Karl Malden,On the Waterfront
1954,27,Actor in a Supporting Role,True,Edmond O'Brien,The Barefoot Contessa
1954,27,Actor in a Supporting Role,False,Rod Steiger,On the Waterfront
1954,27,Actor in a Supporting Role,False,Tom Tully,The Caine Mutiny
1954,27,Actress,False,Dorothy Dandridge,Carmen Jones
1954,27,Actress,False,Judy Garland,A Star Is Born
1954,27,Actress,False,Audrey Hepburn,Sabrina
1954,27,Actress,True,Grace Kelly,The Country Girl
1954,27,Actress,False,Jane Wyman,Magnificent Obsession
1954,27,Actress in a Supporting Role,False,Nina Foch,Executive Suite
1954,27,Actress in a Supporting Role,False,Katy Jurado,Broken Lance
1954,27,Actress in a Supporting Role,True,Eva Marie Saint,On the Waterfront
1954,27,Actress in a Supporting Role,False,Jan Sterling,The High and the Mighty
1954,27,Actress in a Supporting Role,False,Claire Trevor,The High and the Mighty
